NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Heuberger, S., C. Yafuso, G. Degrandi-Hoffman, B.E. Tabashnik, Y. Carrière, and T.J. Dennehy. 2008. Outcrossed cottonseed and adventitious Bt plants in Arizona refuges. Environmental Biosafety Research 7(2):87–96.",Heuberger,ENVIRONMENTAL BIOSAFETY RESEARCH,2008,2004,2004,1,terrestrial,USA,USA,NA,NA,,0,,None,Rose,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Adapting to the Impacts of Climate Change,"Strom, B. A., and P. Z. Fule. 2007. Pre-wildfire fuel treatments affect long-term ponderosa pine forest dynamics. International Journal of Wildland Fire 16(1):128-138.",Strom,INT J WILDLAND FIRE,2007,2004,2004,1,terrestrial,USA,USA,10.1071/WF06051  ,38,6.33,0,"What is the efectiveness of fuel reduction treatments, using the 2002 Rodeo-Chediski fire as a natural experiment?",Note that some work was done by Forest Service staff to assess the relationship between prefire fuel reduction treatments and fire severity. I didn't include this in duration because wasn't done by the authors of the study or to inform the study per se,Barner,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Gamez-Virues, S., R.S. Bonifacio, G.M. Gurr, C. Kinross, A. Raman, and H.I. Nicol. 2007. Arthropod prey of shelterbelt-associated birds: linking faecal samples with biological control of agricultural pests. Australian Journal of Entomology 46:325–331.",Gamez-Virues,J ENTOMOL,2007,2005,2005,1,terrestrial,Australia,Australia,10.1111/j.1440-6055.2007.00608.x,7,1.17,0,Arthropod prey of shelterbelt-associated birds: linking faecal samples with biological control of agricultural pests,NA,Hettinger,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Hansen, A.K., J.T. Trumble, R. Stouthamer, and T.D. Paine. 2008. A new huanglongbing species, “Candidatus Liberibacter psyllaurous,” found to infect tomato and potato, is vectored by the psyllid Bactericera cockerelli (Sulc). Applied and Environmental Microbiology 74(18):5862–5865.",Hansen,APPL ENVIRON MICROBIOL,2008,2005,2005,1,terrestrial,USA,USA,10.1128/AEM.01268-08,101,20.20,0,"A new huanglongbing species, “Candidatus Liberibacter psyllaurous,” found to infect tomato and potato, is vectored by the psyllid Bactericera cockerelli",NA,Hettinger,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Shelton, A.M., S.L. Hatch, J.Z. Zhao, M. Chen, E.D. Earle, and J. Cao. 2008. Suppression
of diamondback moth using Bt-transgenic plants as a trap crop. Crop Protection
27(3–5):403–409",Shelton,CROP PRO,2008,2005,2005,1,terrestrial,USA,USA,10.1016/j.cropro.2007.07.007,14,,0,supression of diamondback moth used gm plants as trap crops,None,Focht,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Hall, D.G., and L.G. Albrigo. 2007. Estimating the relative abundance of flush shoots in citrus with implications on monitoring insects associated with flush. HortScience 42(2):364–368.",Hall,HORTSCIENCE,2007,2005,2005,1,terrestrial,USA,USA,NA,44,,0,,None,Rose,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"van Rensburg, J.B.J. 2007. First report of field resistance by the stem borer, Busseola fusca
(Fuller) to Bt-transgenic maize. South African Journal of Plant and Soil 24(3):147–151",van Rensburg,SOUTH AFRICAN JOURNAL OF PLANT AND SOIL,2007,2006,2006,1,terrestrial,South Africa,South Africa,10.1080/02571862.2007.10634798,NA,NA,0,Resistance of crop pest to transgenic corn,None,Close,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Knowlton, K., M. Rotkin-Ellman, G. King, H. G. Margolis, D. Smith, G. Solomon, R. Trent,
and P. English. 2009. The 2006 California heat wave: impacts on hospitalizations and
emergency department visits. Environmental Health Perspectives 117 (1):61-67, DOI:
10.1289/ehp.11594.",Knowlton,ENVIRON HEALTH PERSP,2009,2006,2006,1,terrestrial,USA,USA,10.1289/ehp.11594,77,,0,human response to heat waves,NA,Rohrer,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Ostro, B. D., L. A. Roth, R. S. Green, and R. Basu. 2009. Estimating the mortality effect of the
July 2006 California heat wave. Environmental Research 109 (5):614-619, DOI: 10.1016/
j.envres.2009.03.010.",Ostro,ENVIRONMENTAL RESEARCH,2009,2006,2006,1,terrestrial,USA,USA,10.1016/j.envres.2009.03.010,26,,0,comparing mortality and a heat wave,None,Focht,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements (2010),"Asner, G.P., R.F. Hughs, T.A. Varga, D.E. Knapp, and T. Kennedy-
Bowdoin, 2009, Environmental and biotic controls over aboveground
biomass throughout a tropical rain forest, Ecosystems,
12, 261-278.",Asner,ECOSYSTEMS,2009,2007,2007,1,terrestrial,USA,USA,10.1007/s10021-008-9221-5,33,8.25,0,Forest ecology,None,Close,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Matos, L., M.E. Hilf, and J. Camejo. 2009. First report of “Candidatus Liberibacter asiaticus” associated with citrus huanglongbing in the Dominican Republic. Plant Disease 93(6):668–668.",Matos,PLANT DIS,2009,2008,2008,1,terrestrial,Dominican Republic,Dominican Republic,10.1094/PDIS-93-6-0668B,3,0.75,0,Identification of a plant disease in a new location,First report-- abstract only,Close,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Akhurst, R.J., W. James, L.J. Bird, and C. Beard. 2003. Resistance to the Cry1Ac ?-endotoxin
of Bacillus thuringiensis in the cotton bollworm, Helicoverpa armigera (Lepidoptera:
Noctuidae).
Journal of Economic Entomology 96:1290–1299.",Akhurst,J ECON ENTOMOL,2003,9999,9999,1,terrestrial,Australia,Australia, 10.1603/0022-0493-96.4.1290,135,,0,Do lab strains of cotton bollworm exposed to Bt toxin exhibit resistance?,NA,GrorudColvert,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Nava, D.E., M.L.G. Torres, M.D.L. Rodrigues, J.M.S. Bento, and J.R.P. Parra. 2007. Biology of
Diaphorina citri (Hem., Psyllidae) on different hosts and at different temperatures.
Journal of Applied Entomology 131(9-10):709–715.",Nava,J APPL ENTOMOL,2007,9999,9999,1,terrestrial,Brazil,Brazil,10.1111/j.1439-0418.2007.01230.x,18,3.00,0,Effect of different hosts and different temperatures on a citrus pest.,None,Close,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Teixeira, D.C., C. Saillard, C. Couture, E.C. Martins, N.A. Wulff, S. Eveillard-Jagoueix, P.T. Yamamoto, A.J. Ayres, and J.M. Bové. 2008b. Distribution and quantification of Candidatus Liberibacter americanus, agent of huanglongbing disease of citrus in São Paulo State, Brasil, in leaves of an affected sweet orange tree as determined by PCR. Molecular and Cellular Probes 22(3):139-150.",Teixeira,MOL CELL PROBE,2008,9999,9999,1,terrestrial,Brazil,Brazil,10.1016/j.mcp.2007.12.006,34,,0,agronomy - invasive pest,NA,Rohrer,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Lopes, S.A., G.F. Frare, E. Bertolini, M. Cambra, N.G. Fernandes, A.J. Ayres, D.R. Marin, and J.M. Bové. 2009. Liberibacters associated with citrus huanglongbing in Brazil: “Candidatus Liberibacter asiaticus” is heat tolerant, “Ca. L. americanus” is heat sensitive. Plant Disease 93(3):257–262.",Lopes,PLANT DIS,2009,9999,9999,1,terrestrial,Brazil,Brazil,10.1094/PDIS-93-3-0257,14,3.50,0,How do different cultivars of sweet orange respond to a liberbacter pest at different growth temps?,"It is possible the experiment took place over two calendar years, though at 60-90 days long this seems unlikely.",Cerny-Chipman,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Vercesi, M.L., P.H. Krogh, and M. Holmstrup. 2006. Can Bacillus thuringiensis (Bt) corn
residues and Bt-corn plants affect life-history traits in the earthworm Aporrectodea
caliginosa? Applied Soil Ecology 32(2):180–187.",Vercesi,APPL SOIL ECOL,2006,9999,9999,1,terrestrial,Denmark,Denmark,10.1016/j.apsoil.2005.07.002,,,0,genetically modified corn residues effects on earthworm life history,None,Focht,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Mikola, J., and P. Sulkava. 2001. Responses of microbial-feeding nematodes to organic matter distribution and
predation in experimental soil habitat. Soil Biology & Biochemistry 33(6):811–817.",Mikola,SOIL BIOL BIOCHEM,2001,9999,9999,1,terrestrial,Finland,Finland,10.1016/S0038-0717(00)00229-7,22,1.83,0,"How does the patchiness of soil affect the abundance of soil nematodes, a top predator in the system?","Seems again like it should be less than 1 year (2 weeks + 15 weeks), but we can't be sure.",Cerny-Chipman,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Dugravot, S., E. Thibout, A. Abo-Ghalia, and J. Huignard. 2004. How a specialist and a nonspecialist
insect cope with dimethyl disulfide produced by Allium porrum. Entomologia
Experimentalis et Applicata 113(3):173–179.",Dugravot,ENT EXP APPL,2004,9999,9999,1,terrestrial,France,France,10.1111/j.0013-8703.2004.00216.x,19,,0,plant-insect interactions,NA,,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Keppler, F., J. T. G. Hamilton, M. Braãÿ, and T. Rockmann. 2006. Methane emissions from terrestrial plants under aerobic conditions. Nature 439(7073):187-191.",Keppler,NATURE,2006,9999,9999,1,terrestrial,Germany,Germany,http://dx.doi.org/10.1038/nature04420,313,,0,What is the methane source strength of living plants given a newly recognized source of methane readily formed in situ by terrestrial plants,NA,GrorudColvert,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Dupanloup, I., S. Schneider, and L. Excoffier. 2002. A simulated annealing approach to define the genetic structure of populations. Molecular Ecology 11(12):2571­2581.",Dupanloup,MOL ECOL,2002,9999,9999,1,terrestrial,Italy,Europe,10.1046/j.1365-294X.2002.01650.x,635,,0,New statistical method to define the genetic structure of populations,Statistical methods paper with application to European deer population (Vernesi et al. 2002); Vernesi suggests data was collected over one hunting season and aggregates with two other published studies that do not contain dates (Randi et al. 1998 and Wiehler and Tiedemann 1998).,Shen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adapting to the Impacts of Climate Change,"Covington, W. W., and M. M. Moore. 1994. Southwestern Ponderosa forest structure—Changes since Euro-American settlement. Journal of Forestry 92(1):39-47.+",Covington,J FOREST,1994,9999,9999,1,terrestrial,NA,USA,NA,425,22.37,0,"Sampled trees to conduct ring analysis, changes in past 200 years",None,Barner,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Alvarez, A.E., E. Garzo, M. Verbeek, B. Vosman, M. Dicke, and W.F. Tjallingii. 2007. Infection
of potato plants with potato leafroll virus changes attraction and feeding behaviour of
Myzus persicae. Entomologia Experimentalis et Applicata 125(2):135–144.",Alvarez,ENT EXP APPL,2007,9999,9999,1,terrestrial,Netherlands,Netherlands,10.1111/j.1570-7458.2007.00607.x ,22,3.67,,Infection of potato plants by virus changes aphid behavior?,None,Robinson,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Ozinga, W.A., R.M. Bekker, J.H.J. Schaminée, and J.M. Van Groenendael. 2004. Dispersal
potential in plant communities depends on environmental conditions. Journal of Ecology
92(5):767–777.",Ozinga,J ECOL,2004,9999,9999,1,terrestrial,Netherlands,Netherlands,  10.1111/j.0022-0477.2004.00916.x,80,,0,Evaluate links between dispersal potential and environmental gradients,"Use of a very large vegetation database, but no information whatsoever about the date range of the collected data--missed opportunity here",GrorudColvert,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Dueck, T. A., R. D. Visser, H. Poorter, S. Persijn, A. Gorissen, W. D. Visser, A. Schapendonk, J. Verhagen, J. Snel, F. J. M. Harren, A. K. Y. Ngai, F. Verstappen, H. Bouwmeester, L. A. C. J. Voesenek, and A. V. D. Werf. 2007. No evidence for substantial aerobic methane emission by terrestrial plants: A 13C-labelling approach. New Phytologist 175(1):29-35.",Dueck,NEW PHYTOL,2007,9999,9999,1,terrestrial,Netherlands,Netherlands,10.1111/j.1469-8137.2007.02103.x,77,,0,disproving bad research,NA,Rohrer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Dutton, A., H. Klein, J. Romeis, and F. Bigler. 2002. Uptake of Bt-toxin by herbivores feeding on transgenic maize and consequences for the predator Chrysoperla carnea. Ecological Entomology 27(4):441–447.",Dutton,ECOL ENTOMOL,2002,9999,9999,1,terrestrial,Switzerland,Switzerland,10.1046/j.1365-2311.2002.00436.x,190,,0,,None,Rose,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Zwahlen, C., W. Nentwig, F. Bigler, and A. Hilbeck. 2000. Tritrophic interactions of transgenic Bacillus thuringiensis corn, Anaphothrips obscurus (Thysanoptera: Thripidae), and the predator Orius majusculus (Heteroptera: Anthocoridae). Environmental Entomology 29(4):846–850.",Zwahlen,ENVIRON ENTOMOL,2000,9999,9999,1,terrestrial,Switzerland,Switzerland,10.1603/0046-225X-29.4.846,61,,0,Effect of Bt corn on a predator of a non-target insect,None,Shen,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Seif, A.A., and R.J. Hillocks.1998. Some factors affecting infection of citrus by Phaeoramularia angolensis. Journal
of Phytopathology 146(8-9):385–391.",Seif,JOURNAL OF PHYTOPATHOLOGY,1998,9999,9999,1,terrestrial,United Kingdom,Netherlands,10.1111/1439-0434.ep6401131,3,,0,"high innoulation, high humidity, and high temperatures increase infection if citurs with leaf spot disease",None,Focht,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Bedford, I.D., A. Kelly, G.K. Banks, D. Fuog, and P.G. Markham. 1998. The effect of Pymetrozine, a feeding inhibitor of Homoptera, in preventing transmission of cauliflower mosaic caulimovirus by the aphid species Myzus persicae (Sulzer). Annals of Applied Biology 132(3):453–462",Bedford,ANN APPL BIOL,1998,9999,9999,1,terrestrial,United Kingdom,United Kingdom,10.1111/j.1744-7348.1998.tb05221.x,9,0.60,0,The effect of Pymetrozine in preventing transmission of cauliflower mosaic caulimovirus by aphid,NA,Hettinger,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Griffiths, B.S., S. Caul, J. Thompson, A.N.E. Birch, C. Scrimgeour, J. Cortet, A. Foggo, C.A.
Hackett, and P.H. Krogh. 2006. Soil microbial and faunal community responses to Bt
maize and insecticide in two soils. Journal of Environmental Quality 35(3):734–741.",Griffiths,J ENVIRON QUAL,2006,9999,9999,1,terrestrial,United Kingdom,United Kingdom,10.2134/jeq2005.0344,48,6.86,0,How does a bt transgenic corn and spraying of bt insecticide alter soil community assemblages?,"I am fairly certain the study took a year or less, but I cannot narrow it down enough to determine that it was not across a calendar year",Cerny-Chipman,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Advancing the Science of Climate Change,"Lake, J. A., and R. N. Wade. 2009. Plant-pathogen interactions and elevated CO2: Morphological changes in favour of pathogens. Journal of Experimental Botany 60(11):3123-3131.",Lake,J EXP BOT,2009,9999,9999,1,terrestrial,United Kingdom,United Kingdom,10.1093/jxb/erp147,19,4.75,0,Effect of elevated CO2 on plant-pathogen interactions in Arabidopsis,None,Barner,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Schuler, T.H., R.P.J. Potting, I. Denholm, S.J. Clark, A.J. Clark, C.N. Stewart, and G.M. Poppy.
2003. Tritrophic choice experiments with Bt plants, the diamondback moth (Plutella
xylostella) and the parasitoid Cotesia plutellae. Transgenic Research 12(3):351–361.",Schuler,TRANSGENIC RES,2003,9999,9999,1,terrestrial,United Kingdom,United Kingdom, 10.1023/A1023342027192,50,,0,Do adult C. plutellae females distinguish between Bt and wildtype oilseed rape plants?,NA,GrorudColvert,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Blumstein, D.L., L.L. Anthony, R. Harcourt, and G. Ross. 2003. Testing a key assumption
of wildlife buffer zones: Is flight initiation distance a species-specific trait? Biological
Conservation 110(1):97-100.",Blumstein,BIOL CONSERV,2003,9999,9999,1,terrestrial,USA,Australia,10.1016/S0006-3207(02)00180-5,68,6.80,0,Is flight initiation distance of shorebirds dependent on site and species?,NA,Cerny-Chipman,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Gottwald, T.R., R.B. Bassanezi, L. Amorim, and A. Bergamin-Filho. 2007a. Spatial pattern
analysis of citrus canker-infected plantings in São Paulo, Brazil, and augmentation of
infection elicited by the Asian leafminer. Phytopathology 97(6):674–683.",Gottwald,PHYTOPATHOLOGY,2007,9999,9999,1,terrestrial,USA,Brazil, 10.1094/PHYTO-97-6-0674,12,,1,What are the spatial patterns of Asiatic citrus canker in Sao Paolo?,NA,GrorudColvert,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
